"filename", "language", "JSON", "Properties", "YAML", "PHP", "JavaScript", "XML", "CSS", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\sportify\database\seeds\DatabaseSeeder.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 3, 17
"c:\xampp\htdocs\sportify\package-lock.json", "JSON", 10129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10130
"c:\xampp\htdocs\sportify\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\sportify\phpunit.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\sportify\public\css\bootstrap-grid.css", "CSS", 0, 0, 0, 0, 0, 0, 3681, 0, 0, 0, 7, 211, 3899
"c:\xampp\htdocs\sportify\public\css\bootstrap-grid.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\sportify\public\css\bootstrap-reboot.css", "CSS", 0, 0, 0, 0, 0, 0, 264, 0, 0, 0, 8, 55, 327
"c:\xampp\htdocs\sportify\public\css\bootstrap-reboot.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 7, 0, 8
"c:\xampp\htdocs\sportify\public\css\bootstrap.css", "CSS", 0, 0, 0, 0, 0, 0, 9016, 0, 0, 0, 7, 1201, 10224
"c:\xampp\htdocs\sportify\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 7
"c:\xampp\htdocs\sportify\public\css\eventos.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\xampp\htdocs\sportify\public\css\footer.css", "CSS", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 2, 5, 41
"c:\xampp\htdocs\sportify\public\css\inicio.css", "CSS", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 10, 58
"c:\xampp\htdocs\sportify\public\css\inicio_usuario.css", "CSS", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\xampp\htdocs\sportify\public\css\login.css", "CSS", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 19, 108
"c:\xampp\htdocs\sportify\public\css\profile.css", "CSS", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\sportify\public\css\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 18, 132
"c:\xampp\htdocs\sportify\public\index.php", "PHP", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 39, 12, 61
"c:\xampp\htdocs\sportify\public\js\apuntar_equipo.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 10, 35
"c:\xampp\htdocs\sportify\public\js\buscador.js", "JavaScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\xampp\htdocs\sportify\public\js\filtro_home.js", "JavaScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"c:\xampp\htdocs\sportify\public\js\map.js", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 5, 8, 35
"c:\xampp\htdocs\sportify\public\js\sidebar.js", "JavaScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 6, 3, 24
"c:\xampp\htdocs\sportify\public\js\tabla_participantes.js", "JavaScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 26, 116
"c:\xampp\htdocs\sportify\public\scripts\main.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 81, 0, 89
"c:\xampp\htdocs\sportify\resources\js\app.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 19, 8, 33
"c:\xampp\htdocs\sportify\resources\js\bootstrap.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 15, 10, 41
"c:\xampp\htdocs\sportify\resources\lang\en\auth.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\sportify\resources\lang\en\pagination.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\sportify\resources\lang\en\passwords.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\sportify\resources\lang\en\validation.php", "PHP", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 30, 9, 152
"c:\xampp\htdocs\sportify\resources\lang\es\auth.php", "PHP", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 10, 5, 20
"c:\xampp\htdocs\sportify\resources\lang\es\passwords.php", "PHP", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 10, 5, 23
"c:\xampp\htdocs\sportify\resources\lang\es\validation.php", "PHP", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 30, 9, 152
